F1_macro,batch_size,dropout,hidden_size,lr,num_layers,opt,preprocessing,selected_features,type
0.7441,1024,0.2,256,0.01,2,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",GRU
0.4701,512,0.0,64,0.01,1,adam,z_score,"n_flows,n_packets,n_bytes",RNN
0.6066,256,0.5,64,0.0001,1,adam,z_score,"n_flows,n_packets,n_bytes",LSTM
0.6877,1024,0.2,256,0.001,1,adam,z_score,"n_flows,n_packets,n_bytes",GRU
0.5768,1024,0.5,1024,0.001,1,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",RNN
0.5962,512,0.5,128,0.01,3,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",GRU
0.8013,256,0.2,128,0.0001,1,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",LSTM
0.7475,1024,0.0,128,0.0001,3,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",LSTM
0.7484,256,0.0,64,0.0001,3,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",RNN
0.6275,1024,0.5,512,0.0001,3,adam,z_score,"n_flows,n_packets,n_bytes",LSTM
0.6399,256,0.2,128,0.01,2,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",GRU
0.6897,256,0.2,1024,0.01,1,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",LSTM
0.7688,512,0.2,1024,0.001,2,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",GRU
0.3136,256,0.5,128,0.01,3,adam,z_score,"n_flows,n_packets,n_bytes",RNN
0.7376,1024,0.2,256,0.0001,1,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",RNN
0.7328,1024,0.0,64,0.01,2,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",GRU
0.6074,1024,0.0,512,0.001,1,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",RNN
0.7135,512,0.2,256,0.01,2,adam,log,"n_flows,n_packets,n_bytes",LSTM
0.6842,256,0.2,128,0.001,2,adam,z_score,"n_flows,n_packets,n_bytes",LSTM
0.6966,256,0.0,64,0.001,2,adam,z_score,"n_flows,n_packets,n_bytes",LSTM
0.5022,512,0.5,128,0.01,2,adam,z_score,"n_flows,n_packets,n_bytes",LSTM
0.6592,256,0.0,128,0.01,2,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",LSTM
0.6352,1024,0.5,256,0.001,1,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",RNN
0.5849,1024,0.0,128,0.001,1,adam,z_score,"n_flows,n_packets,n_bytes",RNN
0.7829,256,0.2,128,0.001,2,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",GRU
0.3122,1024,0.5,1024,0.01,3,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",LSTM
0.6648,512,0.2,512,0.001,2,adam,z_score,"n_flows,n_packets,n_bytes",LSTM
