n_clusters,metric,features,undersampling,preprocessing,accuracy,f1_macro,macro_recall
750,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8819915781725284,0.3574308540207037,0.35619346313401445
1000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9233321425865186,0.7171625180132297,0.6882226482769096
1500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9190021541692376,0.6895038412297124,0.6569542390761042
1750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9143907165048334,0.7212152886619331,0.7203445017623923
1750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8919667889888394,0.6307336983458453,0.6261909316559306
1250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9146505158098702,0.7191052673599896,0.714726211366178
1500,euclidean,"n_flows,n_packets,n_bytes",True,log,0.909508654564349,0.6810032321028062,0.6781153843868593
1000,euclidean,"n_flows,n_packets,n_bytes",True,log,0.9060230138884379,0.6724366930587474,0.6740236891814447
2000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.918249818681735,0.7217737751241758,0.714583947965043
500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9138548804381948,0.7020344707269462,0.7003303365995642
2000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9256703363318504,0.7254748017292556,0.698856938678905
750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9152188267896383,0.7059740617801032,0.6993558819175241
250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.911218999989175,0.6938474204873225,0.6899073623908841
1000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.91742170839693,0.7165103227691839,0.7196006762443146
250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9167343227356867,0.6880521245151701,0.6569964674521324
1750,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8821918401368276,0.35301217570192384,0.35392510096716406
1500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9203011506944219,0.7086529636720901,0.6730737809307031
1250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.918996741683716,0.7230310512392419,0.7271823668370835
2000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9208532242176252,0.7096419648223465,0.6770761269311024
2000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9185096179867719,0.7265063283079553,0.7211239247386175
1750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9160036371902706,0.7177334303447737,0.7125813455570702
2000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.920517650115286,0.7117262923029711,0.6765219804182352
250,euclidean,"n_flows,n_packets,n_bytes",False,log,0.909535716991957,0.6322591866557208,0.5802213571426416
500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9143257666785741,0.70787840875402,0.7016898581866325
1000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.918168631398911,0.686680883750148,0.6563268330439914
2000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.9048322670736856,0.6035891007325752,0.549104486270645
500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9190400415678888,0.7063266951322644,0.6729540332349074
1000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.9037822448824949,0.5947125121925553,0.5399503889535359
2000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9156518256313665,0.7137091054974077,0.7076957740497009
500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9161984866690481,0.7117563102519493,0.7061793201628362
1000,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8819915781725284,0.3589043956107583,0.35702620719365297
750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.9112406499312614,0.6894253673828556,0.691572475070814
500,euclidean,"n_flows,n_packets,n_bytes",True,log,0.9028675348293443,0.6595252151071432,0.6594038397748977
1000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9203065631799435,0.7075698880482234,0.6729691116879235
1250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9150835146515983,0.7095208484427163,0.703509467678254
1500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9221792831704175,0.718762468455135,0.6874283722961647
500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8894770456489028,0.6253173174432073,0.6182761053328448
750,euclidean,"n_flows,n_packets,n_bytes",True,log,0.9058011019820522,0.6674080244059811,0.6682329194393147
1000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9174271208824516,0.7186865714407334,0.7115440288187359
1500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9170049470117667,0.7170989275585663,0.710726539212656
500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.920761211963758,0.7018734204184599,0.6599711543641024
250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9129401703850443,0.7015341015788223,0.7002285148750419
1500,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9122527847238009,0.6527891901079014,0.6113399352505033
1500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8912577533855097,0.6307618727793869,0.629517559556029
1250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.9135517812489852,0.695286844386105,0.6977396374571262
1750,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8815802292728867,0.3571032901141779,0.3560137525412889
2000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9195596401779625,0.6918345687263066,0.6592383046766218
250,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8821918401368276,0.34819137059398003,0.3513609618086595
1250,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.88199699065805,0.3583125070019412,0.3567114825634929
250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9144069539613982,0.7023258712601655,0.6879752090592389
250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9186882300089847,0.7004637981354097,0.6697953325192829
1750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9187423548642007,0.7256222112861366,0.7259118732494709
1750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9248368135615237,0.7232221457605897,0.6971733062633558
250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9180549692029574,0.6994026684604338,0.664418534319
500,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8822080775933925,0.3470071074712895,0.35069065984251857
1000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9193702031847065,0.7041431680925397,0.6675245369618495
1750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.9154840385801968,0.7008537283208939,0.7007246372256385
1750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.922282120395328,0.7205092650179843,0.6902896548423832
250,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8816993039543619,0.3508613343985357,0.3528491972393812
2000,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9140930298011453,0.6687505406350818,0.6312320178552094
1750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9144827287587006,0.7127257291896063,0.70860225426325
750,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9111161627642647,0.6561973761379087,0.6277107175863937
1250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.891430952922201,0.6289420741755934,0.6279392812357173
500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9157979627404497,0.7084869978217422,0.6974352490898932
250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9141958670260557,0.7063469106729562,0.6993921811230596
1750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9204527002890267,0.7076435562766022,0.6771023424391011
500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9178330572965717,0.6967962403183917,0.6576219277939751
750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9188181296615031,0.705084262386856,0.6739670764981325
2000,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8823055023327813,0.3539010724908376,0.3543808178005485
1250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9200142889617771,0.7092644521223939,0.6749617651285197
250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8853040193117483,0.6036448219643885,0.606084974128197
1500,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8817155414109267,0.35786485834842496,0.3564465669326977
1000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9156518256313665,0.710697350724479,0.7055678768962536
250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9159062124508817,0.6918338745163856,0.6603211349389324
1750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.904664480022516,0.6025472960190894,0.5479103482502689
500,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9098550536377316,0.6522092141131598,0.6252942961138487
1500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9249504757574774,0.7213590621728047,0.6857436813484332
750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9194513904675305,0.7165824295494616,0.7151850566858186
2000,euclidean,"n_flows,n_packets,n_bytes",True,log,0.9076467595449182,0.683065486277577,0.6847804218463104
