n_clusters,metric,features,undersampling,preprocessing,accuracy,f1_macro,macro_recall
2000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9136059061042012,0.6755398948588658,0.644650753216396
250,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9016767880145921,0.5653688940623621,0.5254964632137789
500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9067482869483324,0.6725544094926432,0.6888129910212452
1000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9070676235941069,0.5917694015663546,0.5446813177896512
2000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.895474079606837,0.5704547436098071,0.5210921978451809
500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.909319217571093,0.6634273510052721,0.6489121487430025
1000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.8929789237813789,0.5574226640062617,0.5090098555685483
2000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9065588499550764,0.6858878039286679,0.6877151399123171
500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9053626906548025,0.670649963768499,0.679583068478316
1000,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8876097381439505,0.48685110636607215,0.4779624653406153
750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.8989272453696187,0.6153282973559279,0.6164923688184895
500,euclidean,"n_flows,n_packets,n_bytes",True,log,0.8876909254267745,0.5969738556668736,0.6166166216950705
1000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9089186936424946,0.6575243123948962,0.6564209237760494
1250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9081230582708191,0.6857956876080696,0.6761676798990575
1500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9136329685318092,0.6779151647038492,0.6616820317223002
500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8758105197068597,0.5866083114281669,0.5792857856107353
750,euclidean,"n_flows,n_packets,n_bytes",True,log,0.8963400772902933,0.6146382934511322,0.6149228089493601
1000,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9065426124985115,0.6859884669976347,0.6976041182464082
1500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.8989488953117051,0.6713686674223779,0.681597750461601
500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9133839941978156,0.6677162911171387,0.6405792930134021
250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9061366760843915,0.6637711334050035,0.6771576890886132
1500,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9043559683477846,0.5598513930692307,0.5167009453469554
